Bregma	lam0.2	Centroid_X	Centroid_Y
0.26	3	-2921.258555	4270.191124
0.26	2	-2915.499046	4310.293341
0.26	2	-2915.434442	4359.230954
0.26	6	-2916.782149	4237.192311
0.26	2	-2915.928772	4288.332004
0.26	8	-2912.403023	4198.404033
0.26	1	-2904.603754	4324.360925
0.26	8	-2908.49707	4238.207097
0.26	6	-2904.110572	4283.710969
0.26	6	-2891.408802	4260.312708
0.26	7	-2889.385075	4342.486754
0.26	9	-2879.113106	4196.52655
0.26	3	-2875.785016	4287.690158
0.26	3	-2876.806911	4358.43834
0.26	3	-2866.288558	4274.653752
0.26	3	-2856.911093	4323.192247
0.26	8	-2852.689258	4214.462176
0.26	7	-2850.028185	4304.343665
0.26	2	-2839.875946	4366.308647
0.26	3	-2840.06034	4303.489482
0.26	8	-2832.821298	4218.001876
0.26	6	-3009.670377	4216.210946
0.26	7	-2968.520957	4300.73224
0.26	8	-2921.715384	4206.953006
0.26	4	-2877.141717	4370.730731
0.26	4	-2841.930527	4348.256494
0.26	8	-2825.691416	4263.128172
0.26	3	-2826.493548	4282.864886
0.26	4	-2957.052256	4324.891522
0.26	3	-2940.514564	4309.405569
0.26	3	-2897.997529	4258.05355
0.26	4	-2833.877271	4276.942317
0.26	8	-2826.847408	4247.597542
0.26	8	-2825.427437	4218.961125
0.26	8	-2976.232645	4213.529257
0.26	8	-2970.871639	4213.395176
0.26	2	-2961.979432	4335.582279
0.26	8	-2998.740055	4034.312677
0.26	3	-2997.86348	4121.936425
0.26	9	-2994.600469	4144.648526
0.26	8	-2995.441949	4109.915682
0.26	8	-2988.268936	4027.801665
0.26	6	-2982.985897	4115.530411
0.26	6	-2976.228594	4077.561312
0.26	8	-2975.038002	4141.589762
0.26	6	-2973.664659	4053.651965
0.26	8	-2971.221781	4020.496061
0.26	8	-2968.982553	4011.69826
0.26	8	-2966.216333	4176.406639
0.26	8	-2965.843609	4095.180568
0.26	8	-2963.349405	4117.648305
0.26	8	-2964.066148	4003.058595
0.26	8	-2958.172618	4099.713737
0.26	8	-2946.565153	4098.105797
0.26	8	-2948.303693	4139.655047
0.26	8	-2947.408353	4007.228602
0.26	8	-2940.182499	4062.285915
0.26	6	-2940.102374	4176.913936
0.26	8	-2936.647158	4009.957261
0.26	8	-2925.665936	4079.734529
0.26	8	-2918.455289	4150.42186
0.26	8	-2912.291219	4155.988663
0.26	6	-2913.428409	3992.924199
0.26	8	-2909.931273	4102.848924
0.26	9	-2900.267021	4061.4966
0.26	8	-2899.397935	4094.983993
0.26	8	-2892.071292	4122.526328
0.26	8	-2880.814369	4109.364958
0.26	8	-2877.054108	4126.634277
0.26	8	-2876.947552	4004.610443
0.26	8	-2868.914003	4101.748736
0.26	8	-2861.34799	4010.027865
0.26	8	-2849.976311	4167.938311
0.26	9	-2840.7542	4014.527679
0.26	8	-2980.687532	4170.942676
0.26	8	-2957.641847	4032.563051
0.26	8	-2894.097645	4176.939355
0.26	6	-2882.207131	4085.936045
0.26	8	-2876.68954	4061.474357
0.26	8	-2865.925537	4062.716106
0.26	8	-2853.63766	4004.997471
0.26	8	-2936.234126	4114.878062
0.26	8	-2917.511644	4080.024478
0.26	8	-2869.345005	4157.855466
0.26	6	-2864.002001	4107.254782
0.26	8	-2857.513903	4107.905727
0.26	8	-2845.78261	4119.195529
0.26	8	-2843.187222	4160.257116
0.26	8	-2973.10006	4112.888242
0.26	8	-2828.81955	4119.243167
0.26	8	-2915.29163	4006.198289
0.26	8	-3007.849676	3838.992096
0.26	8	-3001.384205	3900.464436
0.26	8	-3000.065717	3842.405261
0.26	8	-2992.590839	3858.331584
0.26	8	-2993.748693	3878.680035
0.26	8	-2984.064277	3915.161168
0.26	8	-2977.846239	3861.295992
0.26	6	-2969.382487	3912.888529
0.26	8	-2961.938489	3931.736436
0.26	6	-2958.663123	3805.407297
0.26	8	-2954.227961	3934.133525
0.26	8	-2953.355896	3851.811193
0.26	8	-2950.647582	3977.372709
0.26	8	-2943.151931	3936.084454
0.26	8	-2931.383597	3919.862905
0.26	8	-2916.263123	3851.955648
0.26	9	-2896.951098	3940.666385
0.26	8	-2895.871563	3886.606475
0.26	8	-2876.94655	3857.449596
0.26	8	-2868.276871	3932.381689
0.26	8	-2868.183564	3839.496093
0.26	8	-2862.242083	3892.319036
0.26	8	-2847.75535	3901.027197
0.26	2	-2844.801133	3821.755928
0.26	2	-2835.709349	3814.170819
0.26	8	-2831.43942	3936.076337
0.26	8	-2829.932529	3875.249844
0.26	8	-3005.864389	3857.465273
0.26	8	-2975.639555	3933.670863
0.26	8	-2938.058044	3851.310687
0.26	8	-2933.584753	3981.49359
0.26	8	-2926.045574	3851.750772
0.26	2	-2928.06023	3803.612207
0.26	3	-2871.293219	3814.239076
0.26	8	-2857.855691	3844.186113
0.26	9	-2849.238113	3880.654702
0.26	8	-2981.12602	3878.208035
0.26	9	-2969.196557	3862.532017
0.26	8	-2959.332169	3891.883591
0.26	8	-2958.974057	3845.293939
0.26	8	-2935.147041	3935.872626
0.26	8	-2902.188836	3853.085567
0.26	3	-2895.538533	3854.091741
0.26	8	-2884.906386	3887.11209
0.26	8	-2868.730723	3858.919745
0.26	8	-3006.470719	3961.818193
0.26	8	-2881.632648	3909.621984
0.26	8	-2861.245658	3927.699794
0.26	8	-2854.560391	3952.463409
0.26	9	-2836.299505	3879.205509
0.26	1	-3005.731375	3720.084152
0.26	1	-2998.016965	3699.3241
0.26	1	-2997.4709	3652.309085
0.26	4	-2995.148454	3761.677754
0.26	4	-2994.476228	3690.450294
0.26	1	-2990.921291	3709.887741
0.26	1	-2979.296362	3596.582463
0.26	1	-2980.201501	3652.145523
0.26	4	-2982.384967	3747.881738
0.26	3	-2967.00209	3708.116783
0.26	1	-2967.625438	3615.678334
0.26	4	-2962.915539	3741.858314
0.26	3	-2959.378506	3689.682269
0.26	6	-2955.372318	3722.604377
0.26	9	-2955.016551	3772.449268
0.26	9	-2949.896449	3734.628475
0.26	9	-2948.788547	3776.660948
0.26	4	-2949.04862	3747.245204
0.26	1	-2944.138928	3690.903651
0.26	5	-2933.129956	3728.507306
0.26	5	-2931.96603	3718.791573
